Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
128,Demaryius Thomas,2TM,WR,31,15,15,0,0,0,0,0,0,0,0.0,0,89,59,677,11.47,5,0,0,5,0.0,0.0,98.0,156.7,159.7,127.2,0.0,43,0.0,2018,WR4
129,Kenny Stills,MIA,WR,26,15,15,1,1,3,1,0,0,0,0.0,0,64,37,553,14.95,6,1,0,6,1.0,0.0,97.0,134.4,137.4,115.9,0.0,45,0.0,2018,WR4
130,Tyrell Williams,LAC,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,65,41,653,15.93,5,2,0,5,0.0,0.0,97.0,137.8,140.8,117.3,0.0,46,0.0,2018,WR4
131,Cooper Kupp,LAR,WR,25,8,8,0,0,0,0,0,4,25,6.25,0,55,40,566,14.15,6,0,0,6,0.0,0.0,95.0,135.1,138.1,115.1,0.0,47,0.0,2018,WR4
133,Jordy Nelson,OAK,WR,33,15,14,0,0,0,0,0,1,-2,-2.0,0,88,63,739,11.73,3,1,0,3,1.0,0.0,94.0,156.7,159.7,125.2,0.0,49,0.0,2018,Waiver
134,Courtland Sutton,DEN,WR,23,16,9,0,0,0,0,0,1,-1,-1.0,0,84,42,704,16.76,4,0,0,4,0.0,0.0,94.0,136.3,139.3,115.3,0.0,48,0.0,2018,WR4
136,Doug Baldwin,SEA,WR,30,13,13,0,0,0,0,0,0,0,0.0,0,73,50,618,12.36,5,0,0,5,0.0,0.0,92.0,141.8,144.8,116.8,0.0,50,0.0,2018,Waiver
138,Antonio Callaway,CLE,WR,21,16,11,0,0,0,0,0,2,7,3.5,0,79,43,586,13.63,5,1,1,5,1.0,0.0,89.0,132.3,136.3,110.8,0.0,51,0.0,2018,Waiver
144,Anthony Miller,CHI,WR,24,15,4,1,1,8,0,0,6,26,4.33,0,54,33,423,12.82,7,1,0,7,0.0,0.0,87.0,120.2,123.2,103.7,0.0,52,0.0,2018,Waiver
146,Cole Beasley,DAL,WR,29,16,4,0,1,0,0,0,0,0,0.0,0,87,65,672,10.34,3,0,0,3,0.0,0.0,85.0,150.2,153.2,117.7,0.0,53,0.0,2018,Waiver
148,Taylor Gabriel,CHI,WR,27,16,11,0,0,0,0,0,9,61,6.78,0,93,67,688,10.27,2,1,1,2,0.0,0.0,85.0,151.9,155.9,118.4,0.0,54,0.0,2018,Waiver
150,Donte Moncrief,JAX,WR,25,16,14,0,0,0,0,0,0,0,0.0,0,89,48,668,13.92,3,1,1,3,0.0,0.0,83.0,130.8,134.8,106.8,0.0,55,0.0,2018,Waiver
152,Marvin Jones,DET,WR,28,9,9,0,0,0,0,0,0,0,0.0,0,62,35,508,14.51,5,0,0,5,0.0,0.0,81.0,115.8,118.8,98.3,0.0,56,0.0,2018,Waiver
153,Christian Kirk,ARI,WR,22,12,7,0,0,0,0,0,3,35,11.67,0,68,43,590,13.72,3,0,0,3,0.0,0.0,81.0,123.5,126.5,102.0,0.0,57,0.0,2018,Waiver
154,Michael Crabtree,BAL,WR,31,16,16,0,0,0,0,0,0,0,0.0,0,100,54,607,11.24,3,0,0,3,0.0,0.0,79.0,132.7,135.7,105.7,0.0,60,0.0,2018,Waiver
155,Devin Funchess,CAR,WR,24,14,12,0,0,0,0,0,0,0,0.0,0,79,44,549,12.48,4,0,0,4,0.0,0.0,79.0,122.9,125.9,100.9,0.0,59,0.0,2018,Waiver
156,Rashard Higgins,CLE,WR,24,13,1,0,0,0,0,0,0,0,0.0,0,53,39,572,14.67,4,2,1,4,0.0,0.0,79.0,118.2,122.2,98.7,0.0,58,0.0,2018,Waiver
159,Dante Pettis,SFO,WR,23,12,7,0,0,0,0,0,1,-2,-2.0,0,45,27,467,17.3,5,2,0,5,0.0,0.0,77.0,103.5,106.5,90.0,0.0,61,0.0,2018,Waiver
161,Cordarrelle Patterson,NWE,WR,27,15,5,0,0,0,0,0,42,228,5.43,1,28,21,247,11.76,3,1,1,5,0.0,0.0,76.0,96.5,103.5,86.0,0.0,62,0.0,2018,Waiver
166,David Moore,SEA,WR,23,16,7,0,0,0,0,0,1,5,5.0,0,53,26,445,17.12,5,2,0,5,0.0,0.0,75.0,101.0,104.0,88.0,0.0,64,0.0,2018,Waiver
167,Sammy Watkins,KAN,WR,25,10,9,0,0,0,0,0,5,52,10.4,0,55,40,519,12.98,3,1,0,3,0.0,0.0,75.0,115.1,118.1,95.1,0.0,63,0.0,2018,Waiver
168,Will Fuller,HOU,WR,24,7,7,0,0,0,0,0,0,0,0.0,0,45,32,503,15.72,4,0,0,4,0.0,0.0,74.0,106.3,109.3,90.3,0.0,65,0.0,2018,Waiver
171,Kendrick Bourne,SFO,WR,23,16,8,0,0,0,0,0,0,0,0.0,0,66,42,487,11.6,4,1,0,4,0.0,0.0,73.0,114.7,117.7,93.7,0.0,68,0.0,2018,Waiver
172,Tre'Quan Smith,NOR,WR,22,15,7,0,0,0,0,0,0,0,0.0,0,44,28,427,15.25,5,0,0,5,0.0,0.0,73.0,100.7,103.7,86.7,0.0,67,0.0,2018,Waiver
173,Marquez Valdes-Scantling,GNB,WR,24,16,10,0,0,0,0,0,2,29,14.5,0,73,38,581,15.29,2,0,0,2,0.0,0.0,73.0,111.0,114.0,92.0,0.0,66,0.0,2018,Waiver
174,Robert Foster,BUF,WR,24,13,3,0,0,0,0,0,0,0,0.0,0,44,27,541,20.04,3,0,0,3,0.0,0.0,72.0,99.1,102.1,85.6,0.0,70,0.0,2018,Waiver
175,Willie Snead,BAL,WR,26,16,10,0,0,0,0,0,1,13,13.0,0,95,62,651,10.5,1,0,0,1,0.0,0.0,72.0,134.4,137.4,103.4,0.0,69,0.0,2018,Waiver
176,Chris Hogan,NWE,WR,31,16,7,0,0,0,0,0,0,0,0.0,0,55,35,532,15.2,3,0,0,3,0.0,0.0,71.0,106.2,109.2,88.7,0.0,71,0.0,2018,Waiver
177,Josh Reynolds,LAR,WR,23,16,8,0,0,0,0,0,2,8,4.0,0,53,29,402,13.86,5,0,0,5,0.0,0.0,71.0,100.0,103.0,85.5,0.0,72,0.0,2018,Waiver
179,Albert Wilson,MIA,WR,26,7,3,1,1,52,1,0,8,16,2.0,0,35,26,391,15.04,4,0,0,4,0.0,0.0,71.0,96.8,99.8,83.8,0.0,73,0.0,2018,Waiver
180,Danny Amendola,MIA,WR,33,15,15,1,1,28,1,0,1,-2,-2.0,0,79,59,575,9.75,1,2,0,1,0.0,0.0,68.0,127.4,130.4,97.9,0.0,74,0.0,2018,Waiver
184,Josh Doctson,WAS,WR,26,15,12,0,0,0,0,0,0,0,0.0,0,78,44,532,12.09,2,0,0,2,0.0,0.0,65.0,109.2,112.2,87.2,0.0,75,0.0,2018,Waiver
185,Michael Gallup,DAL,WR,22,16,8,0,0,0,0,0,0,0,0.0,0,68,33,507,15.36,2,0,0,2,1.0,0.0,65.0,97.7,100.7,81.2,0.0,76,0.0,2018,Waiver
187,Marquise Goodwin,SFO,WR,28,11,8,0,0,0,0,0,4,9,2.25,0,43,23,395,17.17,4,1,0,4,0.0,0.0,64.0,87.4,90.4,75.9,0.0,77,0.0,2018,Waiver
189,Chester Rogers,IND,WR,24,16,10,0,0,0,0,0,1,-4,-4.0,0,72,53,485,9.15,2,1,0,2,2.0,0.0,64.0,117.1,120.1,90.6,0.0,78,0.0,2018,Waiver
190,John Ross,CIN,WR,23,13,10,0,0,0,0,0,4,9,2.25,0,58,21,210,10.0,7,0,0,7,0.0,0.0,64.0,84.9,87.9,74.4,0.0,79,0.0,2018,Waiver
194,Seth Roberts,OAK,WR,27,15,7,0,0,0,0,0,3,5,1.67,0,64,45,494,10.98,2,0,0,2,0.0,0.0,62.0,106.9,109.9,84.4,0.0,80,0.0,2018,Waiver
201,Chris Conley,KAN,WR,26,16,13,0,0,0,0,0,0,0,0.0,0,52,32,334,10.44,5,2,2,5,0.0,0.0,59.0,91.4,96.4,75.4,0.0,81,0.0,2018,Waiver
205,Jarius Wright,CAR,WR,29,16,6,0,0,0,0,0,2,39,19.5,0,59,43,447,10.4,1,3,1,1,1.0,0.0,55.0,97.6,101.6,76.1,0.0,82,0.0,2018,Waiver
206,Jamison Crowder,WAS,WR,25,9,7,0,0,0,0,0,4,30,7.5,0,49,29,388,13.38,2,0,0,2,0.0,0.0,54.0,82.8,85.8,68.3,0.0,83,0.0,2018,Waiver
210,Demarcus Robinson,KAN,WR,24,16,5,0,0,0,0,0,0,0,0.0,0,33,22,288,13.09,4,0,0,4,0.0,0.0,53.0,74.8,77.8,63.8,0.0,84,0.0,2018,Waiver
212,Keelan Cole,JAX,WR,25,16,11,0,0,0,0,0,0,0,0.0,0,70,38,491,12.92,1,2,2,1,0.0,0.0,51.0,89.1,94.1,70.1,0.0,86,0.0,2018,Waiver
214,Jakeem Grant,MIA,WR,26,10,2,0,0,0,0,0,1,5,5.0,0,34,21,268,12.76,2,0,0,4,0.0,0.0,51.0,72.3,75.3,61.8,0.0,85,0.0,2018,Waiver
215,Taywan Taylor,TEN,WR,23,13,5,0,0,0,0,0,0,0,0.0,0,56,37,466,12.59,1,1,1,1,0.0,0.0,51.0,87.6,91.6,69.1,0.0,87,0.0,2018,Waiver
218,Phillip Dorsett,NWE,WR,25,16,2,0,0,0,0,0,4,29,7.25,0,42,32,290,9.06,3,0,0,3,0.0,0.0,50.0,81.9,84.9,65.9,0.0,88,0.0,2018,Waiver
221,Quincy Enunwa,NYJ,WR,26,11,10,0,0,0,0,0,1,0,0.0,0,68,38,449,11.82,1,2,1,1,0.0,0.0,49.0,86.9,90.9,67.9,0.0,89,0.0,2018,Waiver
224,Randall Cobb,GNB,WR,28,9,6,0,0,0,0,0,0,0,0.0,0,61,38,383,10.08,2,2,1,2,0.0,0.0,48.0,86.3,90.3,67.3,0.0,90,0.0,2018,Waiver
227,Jaron Brown,SEA,WR,28,16,2,0,0,0,0,0,0,0,0.0,0,19,14,166,11.86,5,0,0,5,0.0,0.0,47.0,60.6,63.6,53.6,0.0,91,0.0,2018,Waiver
232,Breshad Perriman,CLE,WR,25,10,2,0,0,0,0,0,4,2,0.5,0,25,16,340,21.25,2,0,0,2,0.0,0.0,46.0,62.2,65.2,54.2,0.0,92,0.0,2018,Waiver
235,Tajae Sharpe,TEN,WR,24,16,13,0,0,0,0,0,1,16,16.0,0,47,26,316,12.15,2,0,0,2,0.0,0.0,45.0,71.2,74.2,58.2,0.0,93,0.0,2018,Waiver
238,Kelvin Benjamin,2TM,WR,27,15,10,0,0,0,0,0,0,0,0.0,0,67,25,380,15.2,1,0,0,1,0.0,0.0,44.0,69.0,72.0,56.5,0.0,94,0.0,2018,Waiver
