Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
241,Chase Edmonds,ARI,RB,22,16,0,0,0,0,0,0,60,208,3.47,2,23,20,103,5.15,0,1,0,2,0.0,0.0,43.0,63.1,69.1,53.1,0.0,76,0.0,2018,Waiver
254,Jay Ajayi,PHI,RB,25,4,3,0,0,0,0,0,45,184,4.09,3,6,5,20,4.0,0,1,1,3,1.0,0.0,38.0,43.4,47.4,40.9,0.0,77,0.0,2018,Waiver
255,Kyle Juszczyk,SFO,RB,27,16,14,0,0,0,0,0,8,30,3.75,0,41,30,324,10.8,1,2,2,1,0.0,0.0,37.0,67.4,72.4,52.4,0.0,78,0.0,2018,Waiver
259,Rex Burkhead,NWE,RB,28,8,4,0,0,0,0,0,57,186,3.26,0,20,14,131,9.36,1,2,1,1,0.0,0.0,36.0,49.7,56.7,42.7,0.0,79,0.0,2018,Waiver
268,Malcolm Brown,LAR,RB,25,12,0,0,0,0,0,0,43,212,4.93,0,7,5,52,10.4,1,0,0,1,1.0,0.0,34.0,39.4,42.4,36.9,0.0,80,0.0,2018,Waiver
274,Raheem Mostert,SFO,RB,26,9,0,0,0,0,0,0,34,261,7.68,1,7,6,25,4.17,0,1,1,1,0.0,0.0,33.0,38.6,42.6,35.6,0.0,81,0.0,2018,Waiver
279,Trenton Cannon,NYJ,RB,24,16,0,0,0,0,0,0,38,113,2.97,1,25,17,144,8.47,0,0,0,1,0.0,0.0,32.0,48.7,54.7,40.2,0.0,83,0.0,2018,Waiver
281,Jeff Wilson,SFO,RB,23,6,2,0,0,0,0,0,66,266,4.03,0,15,12,98,8.17,0,3,2,0,0.0,0.0,32.0,44.4,49.4,38.4,0.0,82,0.0,2018,Waiver
283,Wayne Gallman,NYG,RB,24,15,1,0,0,0,0,0,51,176,3.45,1,22,14,89,6.36,0,2,1,1,0.0,0.0,31.0,44.5,48.5,37.5,0.0,84,0.0,2018,Waiver
294,Kalen Ballage,MIA,RB,23,12,0,0,0,0,0,0,36,191,5.31,1,11,9,56,6.22,0,1,1,1,0.0,0.0,29.0,37.7,41.7,33.2,0.0,85,0.0,2018,Waiver
300,Marcus Murphy,BUF,RB,27,11,1,0,0,0,0,0,52,250,4.81,0,19,11,26,2.36,0,1,0,0,0.0,0.0,28.0,38.6,41.6,33.1,0.0,86,0.0,2018,Waiver
310,Brandon Bolden,MIA,RB,28,16,0,0,0,0,0,0,8,91,11.38,2,3,3,13,4.33,1,1,1,3,0.0,0.0,26.0,29.4,30.4,27.9,0.0,87,0.0,2018,Waiver
318,Rod Smith,DAL,RB,26,16,1,0,0,0,0,0,44,127,2.89,1,12,9,60,6.67,0,0,0,1,0.0,0.0,25.0,33.7,36.7,29.2,0.0,88,0.0,2018,Waiver
340,Andy Janovich,DEN,RB,25,16,7,0,0,0,0,0,2,5,2.5,0,10,8,112,14.0,1,0,0,1,0.0,0.0,18.0,25.7,28.7,21.7,0.0,89,0.0,2018,Waiver
341,Zach Line,NOR,RB,28,16,6,0,0,0,0,0,9,41,4.56,0,10,5,14,2.8,2,0,0,2,0.0,0.0,18.0,22.5,22.5,20.0,0.0,90,0.0,2018,Waiver
351,Anthony Sherman,KAN,RB,30,16,1,0,0,0,0,0,1,2,2.0,0,9,8,96,12.0,1,0,0,1,0.0,0.0,16.0,23.8,23.8,19.8,0.0,91,0.0,2018,Waiver
354,Brian Hill,ATL,RB,23,10,0,0,0,0,0,0,20,157,7.85,0,2,1,9,9.0,0,1,1,0,0.0,0.0,15.0,15.6,19.6,15.1,0.0,94,0.0,2018,Waiver
356,Taquan Mizzell,CHI,RB,25,9,1,0,0,0,0,0,9,16,1.78,0,10,8,78,9.75,1,0,0,1,0.0,0.0,15.0,23.4,23.4,19.4,0.0,92,0.0,2018,Waiver
362,Dwayne Washington,NOR,RB,24,13,0,0,0,0,0,0,27,154,5.7,0,0,0,0,0.0,0,0,0,0,0.0,0.0,15.0,15.4,18.4,15.4,0.0,93,0.0,2018,Waiver
363,Alex Armah,CAR,RB,24,16,2,0,0,0,0,0,9,15,1.67,2,1,1,5,5.0,0,0,0,2,0.0,0.0,14.0,15.0,15.0,14.5,0.0,96,0.0,2018,Waiver
